binding socket to 'veth34a763b'
START
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xb077378525658b9d296b7b40387a267, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688480913834
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x792d184816057e7b3385e2659c19687, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688618740509
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xdad0cdf73990eb92486cb74ece7053b1, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688842640393
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x74889a48c6bb618e10810b02c650e6ad, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688377912924
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x713d93628dd38ebb4ed362cab5d31051, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688884053687
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xa8ba3da4acb2e9f8a968604a7d634936, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688345844595
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x451efc74b342d14543f77d9d68c1b00, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688484730220
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x1d38f65712b494e9eaaaa3c0c6702ccb, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688919867729
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xa2102204bb4ffe1fae3896066d9ce910, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688377743324
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x9f72b1061f3f38a15ab251f1e67eafe8, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688748794058
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xa0ff0037aa7280a22b062d90445c685a, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689016209075
